	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
UNC13B	630	2153	1265	2359	2288	5725	2234	2142	6697	4540
UNC13D	187	467	653	964	448	1943	1084	453	2018	1527
UNC45A	976	3590	2747	2185	6163	4595	2864	2989	4177	3923
UNC50	346	268	660	1106	2937	1170	1776	974	1602	1224
UNC5B	421	682	1446	1195	1271	3628	462	917	4253	3569
UNC5C	18	11	114	76	34	996	283	243	870	547
UNC5CL	134	145	117	308	430	131	308	59	120	218
UNC93A	32	48	23	1214	126	16	8	8	22	4
UNC93B1	697	2686	2635	6780	3194	2355	1356	1146	2477	2776
UNG	900	724	1235	5501	1795	2639	2658	1398	3534	2949
UNK	282	689	487	2849	1827	1437	1245	772	1729	1327
UNKL	100	602	447	630	1015	489	324	341	489	244
UPF1	1308	5859	2917	3975	7497	7500	2758	3457	8269	8624
UPF2	252	199	553	2199	2410	1829	1367	1308	2444	2413
UPF3A	251	375	411	544	3556	1297	922	605	1237	549
UPF3B	229	136	193	1878	693	539	518	343	687	532
UPK3A	61	76	147	15	1	27	36	12	96	7
UPK3B	12	16	25	75	18	58	3	7	23	19
UPP1	548	345	1029	2694	630	1439	1728	779	1000	2950
UPRT	164	218	292	986	504	650	504	393	694	562
UQCC1	676	628	1311	3430	5043	1648	1920	1056	1840	1821
UQCC2	731	646	677	1393	1104	999	1810	706	887	1121
UQCC3	773	939	1080	1992	1181	1177	1489	631	1117	1227
UQCR10	1601	2447	2632	4783	1720	4693	5972	2880	4639	6336
UQCR11	1402	1933	2008	4356	4018	3932	6880	3055	3399	4190
UQCRB	1459	918	2454	7508	9263	6626	10041	6672	7516	8381
UQCRC1	5839	17922	10174	10313	13629	23131	16437	10573	18049	25727
UQCRC2	3632	5865	11972	15789	10694	19160	18018	11077	17149	23824
UQCRFS1	867	1179	1557	7577	3748	6321	7201	4122	5774	9045
UQCRH	2389	1024	2918	8176	3597	6044	8747	4675	6468	8436
UQCRHL	108	107	171	216	77	96	126	78	84	172
UQCRQ	3776	4806	6384	6746	6810	6932	9561	4116	6243	9917
URAD	192	436	374	1	16	724	41	258	2	649
URAHP	6	47	17	40	38	24	7	10	12	5
URB1	333	1086	1241	840	4235	1391	821	819	1791	1006
URB1-AS1	60	31	75	152	326	227	248	175	182	119
URB2	217	706	380	691	1201	551	419	294	606	644
URGCP	602	1047	1686	1724	2476	4141	1800	1888	3162	4352
URI1	885	1278	1405	5704	5212	2463	2494	1781	3132	2379
URM1	1441	1487	1876	4455	5786	3100	3264	1861	3264	3045
UROD	795	788	2067	2672	1321	1838	2814	1815	1710	1818
UROS	452	431	702	1373	1576	1050	1714	876	968	1476
USB1	419	1356	1069	1880	2300	2807	1668	1399	2557	2724
USE1	397	1002	778	991	835	825	842	540	750	679
USF1	594	1480	1030	2932	1582	1982	2727	1116	1657	3017
USF2	1373	4092	3471	10392	5710	4758	3408	2384	4713	3464
USH1C	1703	6457	3978	5502	14741	10154	3934	3161	8960	10451
USHBP1	12	14	69	55	43	118	67	113	83	39
USMG5	715	349	1116	3003	4931	3578	5074	2352	3466	5587
USO1	614	269	1234	5495	5326	3385	4778	3288	4702	5305
USP1	419	142	422	1670	1975	1757	2242	1435	2412	2835
USP10	827	2301	1559	3392	5160	3296	2509	2124	3596	3642
USP11	858	2624	2496	7764	4681	1950	1926	2234	2702	1728
USP12	321	205	566	2238	4833	3170	3428	2164	3084	3187
USP13	96	152	198	532	421	515	420	498	717	286
USP14	451	261	851	3858	2232	1918	2750	1771	2317	2939
USP15	478	173	739	3071	3051	2049	3158	1507	2082	2982
USP16	344	142	635	1286	1832	2134	2464	1443	2505	2474
USP18	44	48	215	456	81	141	555	115	160	574
USP19	576	1850	1484	2119	3913	5228	1983	2582	4643	4130
USP2	11	17	63	64	58	1958	313	640	640	3505
USP2-AS1	20	71	38	68	47	69	21	20	14	26
USP20	282	967	793	1228	1592	1567	998	929	1628	1112
USP21	212	588	482	1799	1479	1148	846	710	1221	926
USP22	1567	3054	4057	8710	10396	9615	4661	5422	10971	8251
USP24	556	587	696	1819	2583	3039	1678	1795	4410	3149
USP25	358	191	639	1809	2747	1737	1777	1135	1581	1846
USP27X	60	166	127	191	300	100	130	175	156	86
USP27X-AS1	10	16	36	43	104	26	57	39	44	26
USP28	175	129	277	1240	1410	1029	913	749	1356	1116
USP3	307	447	744	2902	2076	1810	1286	1107	1963	2018
USP3-AS1	3	9	23	62	73	32	41	30	61	25
USP30	164	327	421	1292	637	1505	583	729	1373	1101
USP30-AS1	8	4	30	77	13	96	286	29	83	715
USP31	119	227	692	972	556	500	287	222	433	309
USP32	135	200	353	1203	1330	1167	999	652	1078	1516
USP33	461	116	589	2690	2382	2639	2941	1933	3074	3655
USP34	213	335	682	1710	2631	2859	1859	1871	4381	2505
USP35	73	109	157	358	474	237	224	178	226	152
USP36	498	1742	1283	2301	3252	2449	955	958	2168	1392
USP37	43	37	107	320	442	362	344	187	490	355
USP38	302	340	674	2065	2580	2133	3675	1355	2121	6632
USP39	750	940	1277	4458	4232	1930	2567	1447	2402	2538
USP4	531	763	1613	2033	4477	2810	2214	1941	3066	2893
USP40	528	771	716	768	2619	1756	842	769	1654	1433
USP42	133	205	301	843	1080	964	548	380	783	1196
USP43	112	254	189	830	940	978	462	253	678	1360
USP45	78	44	153	514	740	464	514	342	552	355
USP46	81	95	170	922	710	603	570	447	691	636
USP46-AS1	10	4	21	80	94	70	99	58	77	66
USP47	371	274	841	1513	3516	2670	1948	2259	3160	2856
USP48	276	233	780	2263	1915	2165	1618	1337	2683	2179
USP49	55	64	84	288	299	237	200	175	374	164
USP5	1586	3346	2669	4370	5743	4507	3421	3079	4737	5192
USP51	10	3	25	36	35	61	95	99	104	44
USP53	416	166	707	3362	3069	4361	1870	1601	4357	3405
USP54	595	1369	1057	1943	3771	4492	1219	1250	4232	2814
USP6NL	368	452	857	1596	5598	1289	1014	639	1851	1546
USP7	1484	2428	4807	4483	9442	8006	3252	3706	8421	8407
USP8	372	167	738	3118	4014	2799	2568	1789	3321	3550
USP9X	1256	1623	2957	3495	4799	5681	2499	4277	6447	9613
USPL1	269	182	354	1521	2768	626	682	483	767	577
UST	78	3	95	71	69	231	480	527	316	144
UTP11L	293	72	437	1583	1003	771	1535	941	946	881
UTP14A	378	297	946	1935	3394	833	776	558	938	836
UTP14C	243	209	328	1075	4474	1708	1312	941	1894	1986
UTP15	138	77	327	632	922	431	405	291	466	556
UTP18	525	250	737	2890	2686	954	1413	699	1376	1268
UTP20	255	189	362	949	1231	913	720	600	1363	1203
UTP23	208	141	391	1300	1913	533	945	556	856	710
UTP3	374	494	637	1258	1729	1274	798	913	1473	1422
UTP6	587	300	809	2623	2382	1516	1742	869	1828	1666
UTRN	246	227	1570	612	3723	4008	1912	2309	4739	4152
UVRAG	253	158	450	922	1336	948	940	890	1117	982
UVSSA	93	208	260	240	810	965	222	270	574	445
UXS1	496	951	1141	2323	2263	1727	1378	1042	2001	1257
UXT	1531	2092	2723	5333	3628	2581	3687	1645	2928	2974
UXT-AS1	3	8	8	29	20	20	19	8	18	27
VAC14	624	2029	1979	2504	2479	2498	1425	1259	2400	2437
VAC14-AS1	5	9	30	9	8	3	2	0	7	0
VAMP1	56	112	178	506	183	354	404	316	776	276
VAMP2	311	327	820	1835	4169	4352	2881	2780	4298	2308
VAMP3	1408	703	2598	5657	4427	4750	5924	3896	4684	7426
VAMP4	117	48	267	1089	1001	612	995	631	717	609
VAMP5	317	228	1121	1787	799	416	5056	940	535	1811
VAMP7	401	281	679	3615	1723	1697	2140	1556	1955	2664
VAMP8	2166	1362	4121	5718	6197	6900	11170	3701	7120	13464
VANGL1	303	529	543	699	977	2194	930	1162	1881	1803
VANGL2	59	34	192	133	2654	839	328	532	1638	185
VAPA	664	350	1722	6697	11379	7005	7083	5276	7996	11055
VAPB	1165	1149	2165	3672	7358	3720	3431	2854	3499	3934
VARS	1559	5062	3860	3245	7469	4001	1955	1895	3932	4769
VARS2	431	946	817	746	1399	1892	794	672	1456	1671
VASH1	117	160	556	725	578	627	370	436	711	546
VASH2	17	26	45	113	190	42	35	51	53	14
VASN	182	189	521	544	286	240	285	255	312	258
VASP	2482	3458	4512	12940	13334	10772	8845	7024	9640	16119
VAT1	1129	2046	5038	9463	4426	2898	3196	5806	3212	2081
VAT1L	30	10	84	92	45	209	556	492	352	232
VAV1	40	55	424	523	132	846	710	340	1460	1063
VAV2	741	820	1406	2661	5982	3510	797	1042	3503	2642
VAV3	804	379	745	254	3690	6752	3650	2332	6583	6121
VBP1	551	255	808	4830	2530	1321	2765	1281	1738	2009
VCAM1	205	16	415	822	395	653	2295	1083	2009	1501
VCAN	1215	278	2163	5119	2729	1403	973	2475	1753	990
VCL	1426	2252	4834	6242	6646	10449	10421	21862	9452	9003
VCP	4971	9674	7600	11494	19012	13464	11204	8949	15499	21176
VCPIP1	195	187	453	1352	1242	1042	838	882	1411	2096
VCPKMT	48	26	94	599	186	273	219	132	230	190
VDAC1	3252	3666	9712	9635	18842	12117	6943	6594	10925	20064
VDAC1P8	15	25	34	149	130	96	64	55	136	89
VDAC2	1081	1134	1772	4594	4523	5091	4577	2939	3741	8994
VDAC3	1556	786	2296	5243	4309	4584	6694	3855	4517	6550
VDR	921	2854	2313	3071	8592	13555	2544	3507	10889	13414
VEGFA	2637	4181	2749	7681	6138	5915	1074	1078	1995	2301
VEGFB	883	1247	2067	2731	3124	1772	2364	1773	1636	1365
VEGFC	37	10	118	146	161	146	122	137	135	48
VENTX	73	108	24	52	164	14	24	19	18	8
VEPH1	6	0	10	12	14	132	54	37	78	65
VEZF1	477	875	1043	2327	3909	2184	2341	2051	2344	2105
VEZT	404	237	831	4019	1732	1993	3084	1693	2415	2533
VGF	24	63	72	150	75	14	19	26	42	20
VGLL3	35	3	134	188	671	223	857	792	177	127
VGLL4	408	571	1116	2529	3515	1681	1144	1056	1937	1324
VHL	391	572	808	2462	2669	1931	1039	520	1945	1313
VIL1	4469	15115	7374	3940	22569	25726	5312	7249	20713	23637
VILL	987	1609	2582	1527	3045	9635	2343	3148	7009	8697
VIM	3828	996	12981	19678	11248	13328	15873	28268	15573	12903
VIM-AS1	5	3	21	54	15	64	34	36	59	48
VIMP	1275	877	1966	3129	5306	5428	5401	2438	4858	5452
VIP	102	1	412	175	398	828	4362	3052	1756	1319
VIPAS39	239	301	556	1378	690	898	1158	845	1076	1123
VIPR1	306	1079	1505	951	1578	7617	1070	1571	5366	4777
VIPR1-AS1	1	34	35	31	30	270	16	30	225	80
VKORC1	199	291	890	1145	953	720	1050	776	690	581
VKORC1L1	993	663	1619	2462	3752	2455	2592	1545	2782	2376
VLDLR	222	341	183	130	153	813	456	283	662	253
VMA21	725	565	1017	5193	1600	852	1109	730	1101	1173
VMAC	53	94	92	208	302	287	128	106	248	209
VMO1	40	16	38	340	47	55	79	37	35	38
VMP1	2337	644	3609	9880	8112	9680	6183	3016	6426	5859
VN1R81P	1	3	4	1	2	19	7	3	32	11
VNN1	60	2	174	3171	80	59	439	91	151	12
VNN2	39	2	72	271	11	131	285	93	748	91
VOPP1	410	253	1244	2687	3250	1860	2086	1258	2746	3072
VPRBP	493	886	847	1259	2487	1796	1035	929	2268	1941
VPS11	656	976	1243	3040	3748	2076	1658	1601	2386	2122
VPS13A	208	84	301	1836	1792	2546	927	1088	2330	2076
VPS13B	166	413	487	1283	1430	1499	871	1088	1697	1303
VPS13C	297	205	727	2232	2645	2577	1782	1828	3237	3459
VPS13D	281	492	1147	1149	1501	5394	2037	2401	5766	4970
VPS16	477	2261	824	2194	1026	1720	867	1013	1382	1919
VPS18	338	887	979	1265	1633	1458	957	1111	1550	2037
VPS25	923	1370	1833	4123	4420	2731	3308	1698	2865	3476
VPS26A	766	204	982	3897	5260	3092	3910	2432	3326	5089
VPS26B	653	1649	1703	2219	3255	3449	1943	2051	3288	3209
VPS28	2388	5736	5871	5152	10778	5693	5572	3573	5042	5301
VPS29	1277	614	1836	5667	2135	2627	6163	2407	2754	4193
VPS33A	205	109	302	1037	689	922	791	553	913	1165
VPS33B	232	252	479	691	992	860	633	544	990	1138
VPS35	1432	842	3029	7497	10463	5465	5243	4350	6258	7686
VPS36	574	662	860	1422	8425	3537	3153	2093	4064	4167
VPS37A	230	104	457	1766	1089	1279	1781	1067	1387	1703
VPS37B	792	1524	2270	6640	1746	6894	2524	2106	5659	6466
VPS37C	472	476	933	2125	1893	1954	1469	1035	1939	1663
VPS37D	27	18	37	521	162	23	68	53	24	17
VPS39	574	1130	1663	2838	4343	3567	2292	2470	3652	3518
VPS41	481	590	1124	2633	3219	2278	2260	1456	2476	2540
VPS45	337	262	570	1009	1407	1373	1483	1125	1446	1467
VPS4A	683	1539	2099	2353	3540	3272	2364	1696	3132	3656
VPS4B	340	315	871	2136	3068	4972	3580	3061	5893	7766
VPS51	2101	8370	5142	8127	9223	7989	4058	3491	6757	6601
VPS52	470	834	1230	1493	3169	3145	1669	1721	2971	3032
VPS53	375	736	767	2610	2160	1959	1117	862	1998	2614
VPS54	382	186	423	1383	2776	1373	1386	894	1618	1630
VPS72	599	816	964	2513	3126	1423	1746	1121	1639	1515
VPS8	267	248	580	1945	1893	1796	934	947	1856	1497
VPS9D1	172	502	399	343	430	1040	487	363	668	623
