	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
FAM101A	217	2423	684	2709	2227	3219	1121	842	3858	1814
FAM101B	264	95	437	751	617	600	748	568	519	570
FAM102A	988	2581	3048	8155	4520	7632	3463	3492	6819	8665
FAM102B	361	170	491	2402	955	2501	2173	1366	2893	3229
FAM103A1	119	53	183	765	870	415	485	301	514	475
FAM104A	184	381	533	1256	1134	741	897	475	933	998
FAM104B	166	76	140	519	429	418	760	446	438	462
FAM105A	528	329	1288	2799	18688	2709	3244	1426	3733	3746
FAM107A	14	9	187	95	100	898	1357	1048	1553	979
FAM107B	600	179	990	4023	929	4116	3736	3069	6749	8588
FAM109A	555	917	1022	1074	1332	2441	541	761	1723	1794
FAM109B	192	164	651	771	946	892	1397	771	1159	821
FAM110A	383	337	323	777	435	517	323	273	552	739
FAM110B	8	10	132	104	59	134	239	280	128	69
FAM110C	257	124	318	709	1612	1479	662	331	1415	1697
FAM110D	20	12	63	74	39	74	59	106	63	34
FAM111A	297	302	525	1556	1603	1518	961	545	1601	1902
FAM111B	172	182	238	498	987	312	536	144	972	1116
FAM114A1	481	185	1404	2430	2652	3646	3193	2591	3589	3484
FAM114A2	150	47	345	632	817	600	995	652	864	710
FAM117A	94	132	218	924	595	736	569	952	1003	604
FAM117B	178	179	285	379	1796	1236	527	610	1565	1425
FAM118A	219	909	609	1018	1971	1331	582	401	1015	635
FAM118B	338	184	561	1283	1268	1989	2143	1044	1834	2105
FAM120A	2228	6784	5071	14067	14163	17417	10630	8127	15582	22822
FAM120AOS	618	525	1121	3066	2841	2814	3939	1985	3209	4485
FAM120B	242	433	873	1504	2369	2197	1314	1095	2454	2083
FAM120C	110	115	131	259	83	139	165	171	235	114
FAM122A	223	157	431	1239	945	1243	975	790	1038	851
FAM122B	501	675	760	2520	2536	1719	949	743	1768	1374
FAM122C	29	23	75	152	164	97	120	81	112	118
FAM124A	4	8	114	80	126	145	480	433	100	87
FAM124B	12	3	38	62	46	39	82	44	36	22
FAM126A	80	16	145	289	298	286	889	569	698	277
FAM126B	88	89	330	766	630	1519	960	716	1644	2162
FAM127A	1126	176	2596	1002	2020	2103	3370	2646	1533	1309
FAM127B	718	1544	1194	369	2116	1717	1433	1068	1181	1081
FAM127C	66	24	214	172	172	150	443	575	201	119
FAM129A	96	46	941	751	580	2468	7509	8298	2185	1770
FAM129B	3059	14482	8380	9752	15031	21275	9085	7482	14568	18988
FAM131A	219	174	485	867	589	1063	1057	672	610	663
FAM131B	34	69	554	361	735	98	240	405	89	87
FAM132A	44	53	83	88	403	757	127	120	421	424
FAM132B	20	848	16	159	9	19	6	5	6	4
FAM133B	57	11	72	505	520	269	398	213	450	251
FAM134A	937	2014	2974	3841	6635	6886	3390	3662	6199	7197
FAM134B	500	262	521	1115	1062	6533	4471	2001	5472	2525
FAM134C	636	694	1446	4082	3055	3227	2082	1712	3071	3437
FAM135A	200	80	370	1429	2266	2069	1792	958	2659	3304
FAM136A	666	571	651	3479	3073	2016	2125	1002	1959	2473
FAM13A	771	302	558	2085	1114	1919	963	1939	3425	2075
FAM13A-AS1	12	3	16	87	26	106	21	29	71	38
FAM13B	112	92	457	927	1334	1249	2159	1680	1722	1646
FAM13C	28	9	84	51	53	158	236	398	143	60
FAM149A	114	295	112	79	369	504	564	414	430	343
FAM149B1	214	233	363	1116	1497	1097	981	689	1023	954
FAM150A	9	1	25	71	293	23	1	0	13	3
FAM151A	14	62	23	65	60	584	35	64	164	135
FAM151B	6	10	20	30	29	33	35	21	27	18
FAM155A	0	5	34	18	45	65	37	43	67	8
FAM160A1	33	93	82	536	298	754	200	230	508	725
FAM160A2	630	1867	1511	2358	2114	6729	1616	1487	4032	3567
FAM160B1	143	90	332	1292	1298	697	872	905	991	920
FAM160B2	447	950	1292	1629	1355	2917	1374	1284	2000	1847
FAM161A	16	7	23	291	105	107	96	73	100	67
FAM161B	31	42	98	353	148	371	285	278	479	465
FAM162A	1054	515	1389	4282	2164	6374	6718	4200	6230	5995
FAM167A	19	15	34	100	92	144	77	34	641	66
FAM167B	81	68	146	303	192	100	259	84	120	178
FAM168A	321	459	846	1790	1817	2158	1343	1844	2586	2108
FAM168B	668	2693	2074	4777	8026	9129	4217	5396	8576	6199
FAM169A	15	13	29	78	120	74	65	69	144	95
FAM171A1	650	2043	1543	2489	2114	5114	1739	2068	5916	3700
FAM171A2	11	10	42	81	43	20	32	41	31	13
FAM171B	14	4	92	158	285	125	389	368	179	88
FAM172A	129	72	374	794	1293	797	1075	928	1068	691
FAM173A	303	1311	1745	2004	790	441	312	222	393	453
FAM173B	79	164	435	302	855	448	443	335	530	531
FAM174A	201	146	364	363	556	707	520	455	797	504
FAM174B	372	269	247	470	1408	810	525	419	1227	685
FAM175A	81	41	210	1029	450	325	653	425	414	268
FAM175B	196	158	439	1258	1458	857	996	767	1083	1163
FAM177A1	890	675	1449	3083	2341	5348	3447	2243	3838	4079
FAM177B	12	2	39	24	9	144	216	66	454	117
FAM178A	151	231	377	885	1320	1170	1051	853	1320	1207
FAM179B	101	54	187	708	514	715	528	496	784	623
FAM185A	62	52	81	213	197	173	150	120	191	168
FAM185BP	5	0	5	48	36	22	17	13	22	10
FAM186B	1	20	22	30	43	15	17	3	25	6
FAM188A	240	77	356	2104	1615	1206	1438	743	1206	848
FAM188B	19	16	47	92	65	39	39	41	41	30
FAM189A1	13	266	63	5	125	1216	288	418	884	619
FAM189A2	5	2	49	64	34	333	234	234	202	57
FAM189B	350	791	740	1924	1782	1185	1299	938	1052	1677
FAM192A	761	1241	1755	2534	5182	3287	3008	1660	3419	3165
FAM193A	212	452	623	786	1534	1880	805	762	1798	1435
FAM193B	250	724	739	1456	1419	1876	693	516	1333	679
FAM195A	1065	3726	2802	4172	1947	3718	1883	1254	2361	3145
FAM195B	873	907	1527	2043	2600	1258	4091	2130	1372	1217
FAM198A	4	6	107	108	145	89	129	128	60	69
FAM198B	467	49	759	2727	1414	1229	2106	1919	2080	1033
FAM199X	460	610	876	2692	2741	1929	1840	1353	2506	2463
FAM19A2	2	4	20	39	44	77	90	34	184	42
FAM19A5	107	66	270	187	199	49	194	99	97	30
FAM200A	71	32	119	175	632	220	353	206	339	279
FAM200B	116	65	219	632	1427	722	821	573	699	548
FAM201A	40	95	69	219	332	112	77	56	146	73
FAM204A	251	153	492	2259	2274	1195	2903	1296	1438	1146
FAM206A	241	250	268	2411	1913	797	832	526	788	827
FAM207A	270	551	481	805	431	462	629	311	508	446
FAM208A	377	301	861	1347	3576	2649	1961	1774	3464	2334
FAM208B	387	311	672	2298	2497	2208	1387	1061	2730	1895
FAM20A	54	26	242	485	50	121	180	118	188	137
FAM20B	370	616	912	1945	3377	2536	3443	2474	2460	2923
FAM20C	347	160	1598	1977	1100	1193	1861	1049	880	806
FAM210A	147	108	265	1498	483	754	809	526	742	916
FAM210B	501	402	1785	2381	4424	2641	2896	2473	2271	2091
FAM212A	19	27	75	70	38	39	118	104	83	36
FAM212B	109	61	204	316	235	324	376	442	442	271
FAM213A	608	586	928	2455	3907	4803	2309	3274	2297	4235
FAM213B	899	1071	1964	4759	4130	3807	2336	1784	3866	3771
FAM214A	127	76	398	701	1525	1913	960	1034	2564	1406
FAM214B	249	575	839	925	984	2191	1206	972	1381	2101
FAM216A	73	28	80	582	167	100	259	133	118	54
FAM217B	114	77	212	777	3219	411	864	604	738	548
FAM219A	198	345	578	1466	927	549	647	486	594	421
FAM219B	162	104	214	576	687	649	543	431	600	525
FAM21A	173	166	441	1089	1458	2434	935	1046	2302	2844
FAM21C	130	145	341	1275	1689	2914	1148	1020	2338	3349
FAM220A	247	168	417	1235	783	372	758	531	505	541
FAM221A	112	245	169	2403	662	427	377	147	401	199
FAM222A	104	204	143	351	224	249	123	96	363	176
FAM222A-AS1	10	17	10	147	25	3	5	1	6	1
FAM222B	292	935	869	1909	1942	2117	799	886	1772	2163
FAM227A	17	33	48	154	97	33	23	21	49	15
FAM227B	5	11	37	81	113	72	154	144	104	51
FAM228B	25	18	53	136	107	149	208	163	153	61
FAM229A	39	54	66	135	50	184	26	19	98	30
FAM229B	28	17	151	103	170	83	528	256	97	63
FAM24B	17	9	14	292	67	35	34	32	73	34
FAM26E	80	9	174	291	219	128	453	355	140	141
FAM26F	23	18	108	697	14	124	1569	180	145	1921
FAM32A	1191	1030	2209	3558	6920	4273	5522	2943	4355	5421
FAM35A	117	175	372	973	2078	1050	1309	749	1174	1348
FAM3A	1441	4205	4076	6036	2037	3369	2266	1520	2863	2753
FAM3B	1046	1714	35	53	3544	6	488	47	34	2137
FAM3C	225	73	504	1910	2013	1274	1737	808	2368	940
FAM3C2	19	12	27	133	117	61	117	44	135	57
FAM3D	3326	6256	3645	3726	2229	29267	26400	7571	34422	18888
FAM43A	141	356	225	897	198	982	319	430	1173	426
FAM45A	134	124	233	818	783	543	588	498	619	968
FAM46A	287	179	512	1145	697	2485	1489	1242	2957	2150
FAM46B	13	13	163	77	66	200	457	1550	60	101
FAM46C	496	137	556	1668	95	4197	2402	2267	5369	5021
FAM47E	38	12	84	155	258	131	54	87	118	64
FAM47E-STBD1	52	32	152	397	248	633	282	273	362	650
FAM49A	62	9	162	933	155	378	840	825	602	514
FAM49B	744	243	1134	4230	4654	1976	3991	1349	3065	3014
FAM50A	1903	3724	3423	7443	2226	2256	1603	1040	1895	2060
FAM50B	28	27	181	79	46	313	280	379	253	192
FAM53A	11	50	102	42	110	29	16	33	29	19
FAM53B	284	1561	962	2582	1899	3993	855	1347	4335	2682
FAM53C	270	273	706	1931	2032	1516	1571	1351	1492	1540
FAM57A	512	932	510	3674	1801	461	1112	358	776	916
FAM58A	587	1518	1174	3324	1156	792	1442	572	961	847
FAM60A	884	310	1407	8858	10120	2162	2541	1114	2871	1974
FAM63A	327	1202	801	725	1402	2688	1364	1177	2171	2095
FAM63B	96	36	274	733	859	776	714	847	784	625
FAM64A	89	69	67	1245	573	262	242	125	226	426
FAM65A	400	1010	1657	2384	4206	1595	1685	1726	1815	1054
FAM65B	48	6	117	393	60	430	616	245	2365	551
FAM65C	20	24	81	98	52	181	236	109	183	133
FAM69A	240	40	272	521	381	648	1054	945	825	758
FAM69B	43	83	109	87	174	148	145	202	125	69
FAM71E1	48	93	57	179	240	70	49	30	62	58
FAM71F2	10	13	37	154	19	61	10	18	39	21
FAM72A	4	2	5	40	34	24	15	13	42	46
FAM72D	2	0	1	28	25	10	6	6	16	23
FAM73A	97	44	168	1233	770	1062	859	747	1050	832
FAM73B	304	1143	639	2324	1226	2834	1036	1260	1808	3097
FAM76A	90	74	284	734	340	500	780	430	566	463
FAM76B	90	42	191	682	965	558	544	337	899	418
FAM78A	68	44	194	531	80	320	324	244	853	643
FAM78B	15	229	53	81	105	87	98	91	92	48
FAM81A	98	198	133	1084	168	207	218	145	463	513
FAM83A	28	12	41	10	2	7	25	11	13	43
FAM83B	42	45	110	715	245	932	418	366	923	1400
FAM83D	416	607	1425	1428	1445	541	2741	1251	439	1229
FAM83E	512	2267	972	2295	984	6093	1935	1479	5416	5853
FAM83F	411	1774	1857	1726	1028	2944	615	586	2183	2626
FAM83G	427	721	1109	3241	3516	4633	728	948	2951	4269
FAM83H	1705	4410	4795	3778	15302	5838	1085	1306	4202	5787
FAM83H-AS1	383	645	512	1202	2419	256	126	92	275	307
FAM84A	3036	7444	4091	6476	7200	13223	5148	2558	11546	6870
FAM84B	442	1116	1099	1735	4356	1800	828	1012	1858	2109
FAM86B1	6	12	48	122	21	30	28	30	51	30
FAM86B3P	22	8	84	181	27	72	46	30	84	34
FAM86C1	83	79	130	185	373	208	228	140	241	198
FAM86C2P	59	58	110	149	325	173	123	98	137	95
FAM86DP	50	94	128	210	446	218	250	79	274	68
FAM86EP	42	45	29	67	140	149	156	75	179	87
FAM86FP	7	7	11	135	45	26	117	46	45	17
FAM86HP	9	43	9	70	38	49	24	19	64	21
FAM86JP	69	42	21	103	116	80	76	43	64	66
FAM89A	140	67	219	721	1026	128	245	160	153	90
FAM89B	118	173	416	829	1177	656	772	641	645	541
FAM8A1	324	132	922	1256	3556	3653	3474	2032	3336	6062
FAM91A1	496	241	904	2700	5285	2001	1853	1123	2436	2086
FAM92A1	205	14	320	251	2376	206	480	358	287	200
FAM95C	1	50	22	48	33	102	3	9	44	25
FAM96A	511	213	1019	3322	3305	2322	3064	1447	2693	2937
FAM96B	2452	6519	3822	7305	5602	2758	3775	1605	2702	2654
FAM98A	587	950	811	2116	2131	1320	1497	1037	1726	1625
FAM98B	200	233	412	1136	2376	1370	1275	1349	1984	1929
FAM98C	328	679	595	3405	691	1135	749	463	920	758
FAN1	137	238	355	831	1146	839	774	596	1017	480
FANCA	211	477	417	1214	772	590	383	179	1132	1005
FANCB	20	12	28	147	54	27	40	12	60	66
FANCC	202	270	261	650	806	784	443	423	852	931
FANCD2	160	170	312	953	954	648	356	247	1034	1259
FANCE	118	135	230	312	566	375	316	225	432	321
FANCF	239	190	319	1028	1904	702	882	579	1291	953
FANCG	339	399	406	1912	1051	653	633	377	904	939
FANCI	451	222	653	1967	2313	925	841	507	1827	1888
FANCL	163	96	192	984	1133	459	526	373	608	511
FANCM	58	22	67	340	118	183	151	110	221	234
FANK1	51	69	57	139	240	227	115	62	151	143
FAP	264	7	450	886	746	11	104	125	42	8
FAR1	497	306	743	2648	2783	4586	3767	2211	4746	4219
FAR2	571	419	732	1958	2138	3291	2291	1795	3083	4743
FARP1	798	2681	1664	736	8894	2570	1980	1791	1727	2522
FARP2	395	1092	975	2110	1649	3942	2137	1448	3951	5882
FARS2	224	346	385	697	751	782	774	543	732	746
FARSA	1445	3446	2472	4856	5666	3042	2732	1460	3549	3411
FARSB	895	648	1383	2459	2248	2111	2880	1501	2597	3186
FAS	92	41	289	1248	272	2643	3074	842	1647	3046
FASLG	18	2	8	165	9	25	107	42	62	250
FASN	3006	19256	5853	7803	10315	6931	2818	1904	6079	7166
FASTK	1209	2843	1724	4088	2610	4452	2255	1436	2899	3254
FASTKD1	210	155	409	930	1068	1986	973	778	1673	1756
FASTKD2	459	374	687	1440	2046	1074	1731	832	1332	1540
FASTKD3	83	31	157	885	522	388	567	267	449	542
FASTKD5	311	288	315	1007	688	1003	813	629	1250	1696
FAT1	3390	3901	4411	7310	16024	17236	3875	7254	16572	18952
FAT4	58	35	385	241	300	724	683	1452	575	340
FAU	5845	12271	11139	31491	22129	14326	30113	14207	17331	14876
FAUP1	58	216	106	61	27	12	43	9	26	15
FAXC	28	4	113	16	105	74	593	584	98	63
FAXDC2	67	299	1131	160	2491	989	1777	3085	1289	798
FBF1	30	69	68	176	76	115	52	44	84	78
FBL	3384	12646	4915	23527	7009	4951	5288	3493	6035	6689
FBLIM1	706	2156	2046	3035	3368	9861	4823	4732	7714	14087
FBLN1	1626	1629	8014	5201	1573	10026	8702	12313	12844	6472
FBLN2	663	413	3915	2555	2057	3632	1429	4657	3112	2518
FBLN5	131	115	863	703	656	905	1567	1924	1120	897
FBLN7	33	19	60	71	22	97	74	79	171	46
FBN1	1129	306	4288	3559	3557	3615	1988	5271	2942	2396
FBN2	33	43	137	76	135	391	112	105	425	247
FBP1	610	556	1735	5247	1170	2040	1204	1184	2346	1729
FBRS	693	1320	3470	2806	5038	6316	2076	2117	4779	5077
FBRSL1	977	2232	2079	2978	1920	3709	1128	1026	2792	2238
FBXL12	342	1158	542	1539	1244	1655	885	647	1193	979
FBXL13	1	3	13	66	30	14	9	13	16	6
FBXL14	359	1822	660	1564	1491	2031	1081	626	1922	1753
FBXL15	273	1417	994	847	1026	950	576	379	726	709
FBXL16	66	656	509	370	693	157	107	114	159	95
FBXL17	147	94	599	870	2083	1478	1533	1228	1794	2244
FBXL18	39	220	207	281	255	315	129	105	343	289
FBXL19	210	650	1058	608	1521	1277	425	439	1027	1406
FBXL19-AS1	28	25	52	50	482	194	50	50	140	86
FBXL2	26	35	73	147	930	57	237	143	73	33
FBXL20	187	234	532	1638	1109	1260	487	559	1122	1221
FBXL22	19	16	222	45	108	172	570	813	119	85
FBXL3	396	289	807	2151	6907	3242	3422	2385	2932	3780
FBXL4	300	135	384	1156	1588	935	979	730	1265	996
FBXL5	648	197	1527	3570	3587	3172	7845	3764	3560	4211
FBXL6	763	1794	1982	760	4130	1565	635	534	1009	1137
FBXL7	44	49	270	203	191	435	500	735	467	268
FBXL8	79	592	302	219	362	403	149	97	387	192
FBXO10	31	114	115	437	194	146	145	179	316	127
FBXO11	209	179	364	904	1371	1027	726	739	1265	1321
FBXO16	24	6	16	34	25	18	94	39	56	57
FBXO17	42	16	150	100	279	143	361	385	119	92
FBXO18	532	1209	1174	4374	2888	3641	2063	1825	3465	2904
FBXO2	45	8	336	218	838	43	196	104	77	64
FBXO21	554	900	1057	2318	1783	1953	1447	1652	2331	1859
FBXO22	397	433	552	1058	1541	666	1101	577	960	917
FBXO24	1	8	6	33	6	24	14	15	18	27
FBXO25	415	235	658	2562	3360	2410	1550	1147	2786	1468
FBXO27	13	0	38	26	314	58	120	147	55	29
FBXO28	356	186	718	2711	3034	1628	1629	1252	1862	2315
FBXO3	398	267	614	1806	3255	1792	2038	1547	2108	1847
FBXO30	203	174	416	1036	989	787	1915	2142	881	782
FBXO31	467	2210	2198	1718	3985	2641	2013	2171	2207	2345
FBXO32	353	209	1776	2913	3693	5382	10134	11365	2073	4452
FBXO33	117	126	370	954	742	948	646	476	677	689
FBXO34	593	610	1232	3769	2570	5111	2287	1926	4352	4684
FBXO36	25	22	45	152	106	99	146	95	101	87
FBXO38	302	325	764	1768	2527	1807	1588	1057	1930	1588
FBXO4	112	95	344	606	294	272	697	261	440	276
FBXO41	117	821	297	1038	1229	299	148	143	545	219
FBXO42	162	362	543	1604	925	1405	968	790	1325	1241
FBXO44	99	276	440	1115	511	243	401	293	302	183
FBXO45	205	223	285	1029	1406	928	828	655	891	1157
FBXO46	362	1269	496	2620	2028	1547	563	602	1610	1315
FBXO48	52	29	46	271	145	304	134	124	302	198
FBXO5	108	48	139	527	656	220	409	206	572	550
FBXO6	94	340	522	1312	238	252	2005	327	392	1427
FBXO7	896	1079	1819	5336	3586	4373	4646	3058	4429	6540
FBXO8	231	112	330	1171	1199	1084	1673	943	1187	1426
FBXO9	471	384	907	2777	2275	2265	2760	1713	2278	1620
FBXW11	335	559	857	1464	3130	1973	1485	1391	2342	2179
FBXW2	544	603	1058	2550	2796	2650	2130	1889	3519	2782
FBXW4	384	1965	1407	1317	2641	3129	1808	1492	2605	2432
FBXW4P1	0	8	17	17	3	18	3	5	12	12
FBXW5	2921	11704	5795	6768	6654	10290	5043	4380	7333	9210
FBXW7	136	110	204	720	723	730	556	475	853	886
FBXW8	237	552	435	933	578	712	534	326	1040	578
FBXW9	170	625	253	499	800	488	386	198	448	373
FCAMR	26	36	25	20	7	260	32	69	1402	136
FCER1G	229	67	966	2945	400	742	2465	718	743	1830
FCF1	452	268	715	2234	1297	1571	1632	971	1923	1782
FCF1P2	23	16	55	70	273	153	157	115	220	149
FCGBP	4731	13749	23517	4560	184	223058	27939	54724	270727	243423
FCGR1A	13	9	95	236	55	24	491	32	13	223
FCGR2A	328	67	740	4598	1217	640	2265	939	584	1269
FCGR2B	80	10	232	832	59	212	390	457	415	111
FCGR2C	5	1	8	140	19	65	60	68	108	19
FCGR3A	226	37	1137	4829	1048	154	2407	610	173	2269
FCGR3B	106	7	131	199	16	23	178	53	11	26
FCGRT	5635	2892	7231	14490	15189	21616	11169	10684	19440	8685
FCHO1	228	831	405	2196	1317	278	196	103	792	330
FCHO2	227	107	655	1952	2956	2201	1963	1705	2508	2354
FCHSD1	169	367	521	929	1448	764	296	288	729	482
FCHSD2	219	125	506	1163	1273	1067	1304	1036	1867	954
FCN1	63	21	241	550	45	60	1327	1095	111	1114
FCN3	8	23	14	61	49	3	51	18	22	51
FCRL3	3	0	21	210	2	319	67	48	1406	63
FCRL5	43	11	75	199	4	549	283	157	929	366
FCRLB	15	7	16	60	108	19	18	11	87	20
FDFT1	5911	4249	6792	11342	9455	7188	12373	4699	6690	11206
FDPS	2247	2461	2488	4226	8108	3966	7929	2513	3758	4555
FDX1	317	477	567	1647	2087	1306	1289	1044	1251	1938
FDX1L	18	17	18	183	102	51	72	61	56	60
FDXACB1	37	11	44	72	103	95	72	49	89	98
FDXR	355	402	602	2007	593	756	336	354	941	756
FECH	90	70	360	1213	412	1071	1356	1000	1147	1220
FEM1A	32	123	93	287	137	201	55	36	158	110
FEM1B	422	360	1075	2485	3006	2958	3797	2943	3234	3624
FEM1C	251	266	780	1434	1796	2527	2139	1518	2261	3867
FEN1	627	869	896	1494	1849	1054	1469	635	2047	2588
FENDRR	115	63	495	733	343	1515	3165	2815	1001	894
FER	56	11	170	552	533	533	635	703	582	490
FER1L4	546	733	513	962	623	231	47	34	161	66
FER1L6	5	13	72	159	96	1493	283	297	2260	1070
FERMT1	1978	6464	4251	5671	13402	6409	3038	1489	6357	5196
FERMT2	328	42	1411	929	1421	1308	6020	6350	936	935
FERMT3	179	210	1145	1918	259	1968	1915	952	3409	2497
FES	115	96	440	591	586	761	669	495	836	565
FEZ1	125	23	360	229	209	292	1526	956	302	204
FEZ2	278	116	641	1692	1691	2344	2243	2154	2058	2635
FFAR2	51	5	54	139	1	48	201	27	77	69
FFAR4	124	505	472	30	57	2116	2136	250	3648	1698
FGD1	227	266	520	519	656	476	494	414	541	505
FGD2	32	59	276	629	131	516	894	294	922	772
FGD3	123	383	259	1060	338	525	280	210	979	489
FGD4	127	119	263	1285	1453	2459	1078	967	2516	2719
FGD5	90	85	640	566	825	1006	427	670	959	410
FGD5-AS1	1200	805	2786	6661	9349	7202	8740	5652	9002	7709
FGD6	116	41	439	1717	780	1204	1247	904	1619	2626
FGF1	26	3	67	45	81	24	283	213	33	17
FGF13	31	44	99	60	57	174	478	468	200	91
FGF18	22	19	49	30	247	22	26	11	16	9
FGF2	37	0	103	123	107	208	1031	1086	206	181
FGF7	137	0	319	328	136	295	1480	1064	234	156
FGFBP1	282	59	85	110	486	983	2624	242	704	766
FGFBP3	17	15	59	61	97	73	89	40	115	27
FGFR1	486	187	1922	1452	1234	1900	3332	4979	1957	1099
FGFR1OP	152	91	253	752	940	797	491	289	680	708
FGFR1OP2	219	103	431	2742	2069	1348	1616	1073	1566	1244
FGFR2	124	176	555	1241	350	2034	2005	3137	2084	5186
FGFR3	263	1038	433	102	3043	3965	535	584	2263	1919
FGFR4	542	6127	3239	1655	12675	2660	1430	1068	2357	2998
FGFRL1	1880	31808	1921	573	9125	1088	361	445	1047	716
FGGY	337	326	3292	580	238	476	380	371	454	565
FGL2	96	76	735	2941	387	3557	10285	5352	4088	8322
FGR	106	52	452	885	115	235	662	291	372	452
FH	1138	2117	1833	3467	3157	5040	4762	3382	5220	7575
FHAD1	11	6	59	445	30	26	45	24	31	50
FHDC1	243	646	336	409	559	1800	524	379	1493	1271
FHIT	124	67	140	262	365	278	296	143	330	281
FHL1	263	139	3809	1005	1925	4520	27786	17853	3190	3981
FHL2	2732	4764	3607	5875	4866	4634	7542	2937	4033	8588
FHL3	193	122	836	605	630	270	762	951	268	204
FHL5	2	2	33	35	41	41	103	265	65	21
FHOD1	386	1133	1104	1924	591	1581	621	448	1467	972
FHOD3	57	129	97	49	74	257	401	436	297	113
FIBCD1	430	1793	1051	90	2086	179	239	51	461	100
FIBIN	151	28	300	267	428	139	1057	867	128	116
FIBP	1049	1565	2142	3404	3883	1984	1866	1300	2161	2242
FICD	58	150	137	254	177	313	323	215	479	460
FIG4	195	196	373	597	1081	974	881	692	1122	908
FIGN	5	1	18	20	18	58	88	130	84	27
FIGNL1	171	115	176	1101	489	356	471	283	591	623
FILIP1	17	10	128	81	157	297	999	1592	160	141
FILIP1L	482	164	2159	2126	2818	1855	3006	1989	1269	1162
FIP1L1	296	185	571	2367	2845	1557	1310	995	2156	1555
FIS1	2657	3852	6531	6852	4463	3523	6337	3330	3574	3341
FITM2	551	665	598	742	2145	1462	833	486	1045	718
FIZ1	170	562	334	657	978	820	414	378	768	823
FJX1	110	144	159	157	120	20	38	23	51	11
FKBP10	3031	561	5479	5009	7723	887	1174	1517	1195	536
FKBP11	458	333	508	2629	2588	1156	2119	902	1602	1485
FKBP14	144	118	260	1241	645	395	634	478	457	251
FKBP15	302	500	953	2188	2045	2198	1538	1081	2518	2627
FKBP1A	2196	1337	3258	11107	5777	10107	10084	5614	11712	10935
FKBP1B	29	4	66	38	111	420	237	126	190	338
FKBP1C	7	20	20	49	26	17	44	17	28	40
FKBP2	537	479	1007	2021	3062	3672	3090	1843	3160	3557
FKBP3	470	168	852	2395	1083	1595	2485	1236	1778	2232
FKBP4	3350	5028	3779	28752	13337	6758	5489	3898	8057	7143
FKBP5	421	179	530	1383	1670	2982	2336	6802	3693	4070
FKBP7	75	15	208	425	419	231	680	496	272	196
FKBP8	3460	13380	7028	8324	13423	10413	11983	8432	10476	9135
FKBP9	1179	2022	3804	4928	6833	5107	3185	3196	4700	3087
FKBP9P1	20	12	57	79	73	10	71	38	30	19
FKBPL	67	64	123	231	326	246	305	205	300	407
FKRP	126	298	238	580	489	747	409	317	730	519
FKTN	170	166	369	1130	1211	792	641	563	1142	816
FLAD1	771	1753	1347	2066	2060	1557	1485	802	1480	1516
FLCN	269	403	639	4062	1511	1996	1083	727	1343	1371
FLI1	57	75	360	569	262	651	705	763	1538	769
FLII	1670	3883	4144	10726	11772	11296	4763	5531	10559	10408
FLJ20021	72	65	166	586	176	235	160	153	165	98
FLJ22763	86	11	20	47	68	371	168	296	384	554
FLJ37453	18	28	63	197	166	259	191	151	276	114
FLNA	8143	16799	68179	20064	40722	67678	111209	248909	26621	41712
FLNB	3870	8484	9036	9764	14665	50450	7491	13513	35543	59581
FLNB-AS1	11	30	38	77	42	223	39	56	128	106
FLNC	329	203	5831	1726	3522	8272	13938	51004	1632	3298
FLOT1	2877	4054	4262	8455	9884	7320	11998	5276	6682	7886
FLOT2	1836	4189	4259	5646	7701	5784	7323	4316	7329	7355
FLRT1	14	51	55	9	72	91	122	196	61	28
FLRT2	61	4	253	184	152	503	234	426	523	220
FLRT3	170	17	57	13	345	110	568	359	143	379
FLT1	208	103	383	1099	899	815	344	829	960	842
FLT3LG	4	5	30	74	36	69	132	69	70	105
FLT4	92	157	375	282	474	743	210	458	431	114
FLVCR1	334	657	391	1097	1716	551	471	354	579	820
FLVCR1-AS1	54	62	7	46	32	13	84	107	90	112
FLVCR2	55	15	172	543	118	822	314	693	508	1914
FLYWCH1	272	1155	1313	1198	1784	1467	829	872	1239	715
FLYWCH2	181	534	635	758	889	972	861	507	814	705
FMN1	127	86	310	415	1973	2015	662	885	2404	2228
FMNL1	152	205	827	1907	663	1113	845	527	1737	1400
FMNL2	340	366	837	2199	2519	1226	1108	694	1130	922
FMNL3	268	279	881	1561	866	980	718	750	2193	872
FMO1	3	2	36	38	11	10	22	14	19	10
FMO3	8	4	11	106	25	1	42	33	19	47
FMO4	52	47	86	90	116	479	204	269	415	517
FMO5	235	168	257	747	772	3063	893	1877	3185	1940
FMOD	1024	1233	2305	7468	8926	3880	3567	2825	6384	1965
FMR1	413	370	975	3420	2783	1810	1518	1290	1831	2893
FN1	11255	10795	38588	21014	31241	25988	15194	74670	23788	11607
FN3K	300	1248	468	1097	1666	1678	577	753	1676	1206
FN3KRP	550	918	1238	2392	2988	2440	1628	1365	2589	1624
FNBP1	257	290	1702	1741	1318	4688	6395	6464	5141	3930
FNBP1L	635	450	773	2249	2709	3115	1695	1655	3173	3249
