	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
RASEF	2.37402760366269	2.1351159687557	2.22074278602844	3.30837115597555	2.65293466938691	3.1243687324352796	2.54352938722569	2.6285057061734	3.42574974644508	3.08742403862041
RASGEF1A	0.11959261435387701	0.0	0.28272701556806895	2.7394928594743697	0.0570927881626254	0.629384188676176	0.282653892045188	0.314389106082485	0.41170313225724603	0.2865482894135
RASGEF1B	1.04061254215315	0.496906750820572	1.29315526328849	2.1336493883688603	0.5205568143602199	1.15966451032503	1.48704919024722	1.07262286601818	1.18486578037435	1.695653391422
RASGRF1	0.11008872532460799	0.0418182609887964	0.10686635761012402	0.0930298712806805	0.0773501143575572	0.207129839183081	0.13738288243174102	0.164218602692116	0.289478075247468	0.0761338312117522
RASGRF2	0.9499839895566429	0.340322393244352	1.9520267968011298	0.46610461848977297	0.544127669373099	0.5631185657956579	0.74757370798791	0.894233011074624	0.48458056481459	0.422082288114141
RASGRP1	0.26408188889602197	0.116120195293562	0.4005181252445871	1.3780547819954398	0.0991439847648374	0.72813445232263	0.7617498256169469	0.5648938567523929	1.48680441839607	1.01697430310766
RASGRP2	0.828993791620273	0.622902368671837	1.61514008659648	0.8882969176424359	0.242295966062266	1.42585654055476	1.5317492136320299	1.9780800719830802	2.0954200349322702	0.804383955249978
RASGRP3	0.453975089404844	0.17801434154636897	1.1633493355321398	0.749768734629481	0.523666383996317	0.9927996751010479	0.702032456417834	0.9704809926425191	1.6538441494801202	0.8506719586186899
RASGRP4	0.52524253061139	0.39412519671704604	0.864937242251575	0.537769211062204	0.11856606131077099	0.710373274128665	1.11238071321805	1.1832714421861399	0.728468746314493	0.8293658116299569
RASIP1	1.6263761337019	1.20293241781477	2.30916291968714	1.35733657244322	1.13744472312698	1.77487420928297	1.2331896393190702	2.19296403651967	1.2641578254223602	0.9041591289502691
RASL10B	1.0697813333878399	0.273174049025728	0.45988301539150794	0.3688992416419029	0.8193789185793849	0.11784690921563001	0.311239752434487	0.40240201146277293	0.103601930066405	0.0522397842994849
RASL11A	4.44576374256312	4.33271179892504	2.6852710477369	3.7742555828368394	3.1569300666203	4.04748639185198	6.366320370573809	4.25073172404812	4.55923504839776	5.71566197558419
RASL11B	0.359639714178216	0.6696136498058921	0.407057323247041	0.66077873932025	0.425763325301179	0.164243688805284	0.412579431784878	0.469406716191568	0.24684454552170298	0.061473627861196
RASL12	1.80637869272992	1.7078420500268001	2.97669635008322	1.94329092560498	1.4344067312618702	1.91587102146796	4.21685807823898	4.3977116391449	1.72458045499418	1.77377392085544
RASSF1	3.8921547420873397	3.7578152652176295	3.77505670830375	3.6094065916438596	2.49279077529825	2.89077670064347	2.98342657241182	2.79018500477007	2.75734740149019	2.7636146701535
