NAME	DESCRIPTION	Caco2-Ctrl-1_S13	Caco2-Ctrl-2_S1	Caco2-Ctrl-3_S9	Caco2-Oxy-1_S12	Caco2-Oxy-2_S6	Caco2-Oxy-3_S4
AL592435.1	na	0.7210915710448988	0.4343615731523953	0.5639979575464122	0.23964628244052943	0.4944331745671562	0.21350007546370975
AL596202.1	na	1.1931085011609937	1.1531277221929286	0.936297574108842	0.3679821677510742	0.34834482337704165	0.7748805729942281
AL604028.2	na	2.036118683330573	1.47731825713198	1.1633877001060275	2.0358237097915532	2.350983731827231	1.5182939145978356
AL606489.1	na	3.5459064282480073	4.086138563541502	2.6118219592123753	1.787978230718846	2.0903874997715173	3.6202360345651368
AL606970.1	na	3.1349384964136293	4.094232543798368	3.720238781293139	1.9329320073818672	1.6113613869695902	2.585179570192647
AL645568.1	na	1.6104200767484582	1.9699750647286955	1.425966585611266	1.7557228866807657	1.9434305593284575	2.053957555070357
AL645608.8	na	1.577007259715808	1.4868574582530325	0.7655883426883088	1.612614679649917	1.5859237314664734	1.6978863332194472
AL645929.3	na	1.0820320268972465	0.9452182598452086	0.8905507473261587	0.39261602626425396	0.3159144829921601	0.4340455679150872
AL645933.3	na	2.0677953893494245	2.4962999469408884	2.161731679580085	1.9382773376156677	1.7329056665097515	2.157384734831835
AL662795.2	na	2.6457211649441406	2.6238215247141197	2.3404912915661877	1.046110888112893	1.2739014264027801	1.3672887136697618
AL662844.4	na	0.9841266874929024	1.7131576058122868	1.2672582233387728	0.3297393582103061	0.6527749051021352	0.5951576195513428
AL691432.1	na	0.9147256862542665	0.6776277256139429	0.9304346506704895	0.9186761747043597	0.9527510727219128	0.580352296690047
AL691432.2	na	1.4287539454214464	1.1760214030970304	1.3494840643035468	1.0167464340609245	1.3195397627432635	0.7597166571456426
AL731566.2	na	1.6873244944558645	1.7322789196264683	1.9659454912398888	4.693149959794813	5.368262884711884	4.795981044696416
AL731569.1	na	1.068785986187374	0.9181163823225473	0.8993618453402987	0.633892568892475	0.8598631611417307	0.6674114672486735
AL731571.1	na	0.42696306787927596	0.27754550810221446	0.3637688653582454	0.5418361556273994	0.3412997753647493	0.4926935820659477
AL772337.3	na	4.873437898922131	3.8949153302723154	4.197571005877046	3.18299421292806	1.5809653359616513	1.5825603236813293
AL928654.4	na	2.043385474431665	1.5880554513244078	2.0019443006038	1.8975787171034626	1.983254956036009	1.6039628729231987
ALAD	na	17.484863237732423	17.074505774132614	16.385551595681658	14.395887881119476	13.789023002418352	13.676980861472314
ALAS1	na	30.462086388652857	32.80789677452454	31.39438832124248	38.98289324106166	35.60650628380071	34.5226621880368
ALB	na	606.420882434116	678.7928748769216	676.2730993725007	487.2263327582283	440.5311295470616	431.4948250473038
