	UBE2T	BIRC5	NUF2	CDC6	CCNB1	TYMS	MYBL2	CEP55	MELK	NDC80	RRM2	UBE2C	CENPF	PTTG1	EXO1	ORC6	ANLN	CCNE1	CDC20	MKI67	KIF2C	ACTR3B	MYC	EGFR	KRT5	PHGDH	CDH3	MIA	KRT17	FOXC1	SFRP1	KRT14	ESR1	SLC39A6	BAG1	MAPT	PGR	CXXC5	MLPH	BCL2	MDM2	NAT1	FOXA1	BLVRA	MMP11	GPR160	FGFR4	GRB7	TMEM45B	ERBB2	Subtype
TCGA-A2-A1G0-01A	2.10572847919289	1.23860302087653	0.6052594542505589	0.8951443140239209	2.84001888536189	2.16694376984564	1.2620880996279	1.27677163509554	0.7727079361669241	0.840402634545008	1.28362439892323	1.9141951729465	1.90502567111606	1.53324068668023	0.467447103332851	0.3777654221215721	1.87213512591384	0.405311800782931	2.13015240156772	1.57279641376478	1.45516330958732	0.837236388896085	5.622835610642481	2.33807774363316	5.01764795443306	1.95428579375406	2.00694258801303	0.6505946583801291	5.4469993597771005	1.77597092570642	5.33227349822504	4.66993038060392	3.97708692538184	8.31216708752315	2.6626126805777903	5.90566484899613	4.361268964061299	5.1977273176843495	5.73738065523003	4.72086029286729	3.42033126750968	4.095511388669189	6.230153236049019	4.817624785391518	4.8962062630690895	3.15478966830803	0.328241918365417	4.30756952031342	3.3749268666396297	6.431596225312799	Luminal A
TCGA-A2-A1G1-01A	4.6849596343213085	3.715240976725641	3.00256912282399	4.39442709381727	5.88329380177497	3.61968651273593	4.5919805232847	4.36916015613533	3.73748743535137	3.407924865522089	4.078650852560029	6.250811632841638	4.4428527148219406	4.06564343674921	3.12824461056074	2.49380624237095	4.661527390468629	5.177670613199691	5.495442289348639	4.3293885751292	4.09321760276537	1.85937732046488	5.46865055925987	3.45856993655779	8.515948876297651	5.2893891100175985	4.8933607042538	4.39105370790218	7.71861810042711	5.282202414391481	2.83429623057426	3.61290493503402	0.659873049252048	4.99206095396227	2.21212309532941	1.44278648831191	0.246484861020543	3.81823831045847	0.26009558080109	1.6090376698921105	3.01999448267209	1.00801300642617	0.9003927304062859	3.55954927885816	5.6490497055526605	1.84667615997582	1.02535781952105	6.46839609299583	0.234345769611135	9.80415412998808	Triple-negative
TCGA-A2-A1G4-01A	3.1921337980438103	3.68989670396702	2.36508840679341	3.0494759559964	4.35804072222314	4.77428584133872	3.30210418559862	3.43241719124079	3.40388558201699	2.50381014724881	4.21561031608625	4.26637375323709	3.2415311866993	3.44395313833962	2.0515168314078	1.7452126841696498	3.7309917906769705	1.18298801288914	3.90951702195206	4.00771885633721	3.14983644884565	1.50922710432922	4.74684048600139	0.818473558307692	0.8353622081611008	1.92779206339168	0.4852020851940539	0.0948217066723622	0.8820586526456179	0.754102369272148	1.99746442796487	1.24172554485285	7.48414884127008	10.4658588063824	4.46392131890252	2.8235440756208803	3.793723275424101	6.260725485814801	6.15077568791939	4.4920334113703495	3.51435378204079	1.31151019535448	7.05546159717404	5.43912291938282	3.06717118074464	3.80895579856046	0.24618281160189104	3.27282466067662	1.7970061609658	4.26604506300733	Luminal B
TCGA-A2-A1G6-01A	1.3361655297096202	0.5079151202769671	0.35968789191771394	0.464726776194947	2.40938901147622	1.91513779108351	0.462663648258554	0.513974477595701	0.42235812817713	0.30254685829649103	0.568635496163557	0.83493779215628	0.6737145980860479	1.11658916279407	0.216994129493914	0.26864509908392703	0.59450107336888	0.292881753078613	0.977126172493942	0.3948537582763089	0.598847753324206	1.42107893660021	5.35627347235316	3.9245713122329904	7.20095100284138	3.6417449896969503	4.4688891658044	2.88721329881184	7.380539136483951	3.41167327074936	8.00886665394793	7.325125739944861	4.36200113641904	8.74983011308791	3.45429198967796	2.78501017026254	4.21439377483882	4.737081256614741	5.08432855949136	4.20848331050773	3.22645338241431	3.07598564568368	6.10762221462693	5.05125803812545	0.922375789757993	3.2879961855287303	0.6885699718554661	3.1083977859795	2.57812466961631	4.6638200950494415	Normal-like
TCGA-A2-A259-01A	2.6193174216587702	1.42172288781813	0.966904575128134	1.3190480913058502	3.01657358179361	2.77036704457092	1.75047177007837	1.36999716229179	1.1436158265388705	1.05003619092573	1.68568023970043	2.44307918545367	1.6074247643488702	1.88562106906932	0.7688254120061631	1.50998511783541	1.99348105690219	0.6831278695295051	2.51880820964207	1.77888530419633	1.50856900104328	1.41787943767526	6.173363934176612	2.18576533660494	5.6163448876104605	2.09666865261916	4.606987905336862	1.30605677644408	6.1283508144199095	1.60341657825535	5.4158723108613005	5.61485510896467	6.212720137559232	8.547106610882231	3.83551111078265	3.82693327880982	4.60538837032588	4.35079941301389	5.22605265374496	4.37211524193551	3.2344482274139703	2.82087239057733	5.92758506627326	4.1990334696332	4.53964470209609	3.62824455039362	0.933081477147832	2.36603710069914	4.04173641269714	4.19025975881913	Luminal A
TCGA-A2-A25A-01A	3.28700355014962	2.20313779514069	1.8536830795072	1.01915764748993	3.64862900872316	3.0560925499172207	2.78529203110802	2.18701104965295	2.2022508321224503	1.83028253658679	2.94775779447936	3.6852488909973102	2.6497141671215	2.72670938847991	1.16412373477116	0.595489798998199	2.4044037173857404	0.7759850707813829	3.59114052212443	2.5379017126533903	2.38676929001708	1.01245290193387	5.31105496942746	3.17536295623156	5.88441883485474	3.07550864941978	3.84854288897754	1.61087575270728	6.70149887145126	2.8830647819127	6.2164148125061915	6.71626686524992	3.5781354641255803	7.21142804727213	3.3264065844357096	2.59463001555417	4.44563180303765	4.68078795186284	4.82202079222877	3.5251247879313303	2.75815654236544	5.734274965906191	5.60246072331938	5.25401860910317	3.86791452299637	3.3512308106182496	0.27832009751508696	2.53354534909939	1.4761884250623405	3.87509515077673	Normal-like
TCGA-A2-A25B-01A	5.28297581774463	6.19318628332646	4.17444328484406	2.62729217523973	5.3544054985796	4.739438134188848	4.63563878014953	4.50270507579671	3.13607293165348	3.1601401052111298	5.06624397335891	5.68660485358742	5.331780520753791	4.1829044097646895	3.55001312169243	2.5707247417070698	5.06856560785589	0.8665336129330992	4.84538825545485	3.93521463660912	3.9477779598560097	1.6113229334343502	4.831082002929048	3.8136574463407897	0.147749788446559	1.2124161748505702	1.58306125551927	0.0538481009074886	0.567703810093185	0.8344281297470308	0.39229895594375497	0.0104174798319977	3.88399011107349	9.013347644525213	2.6035208571919704	1.19022200907579	1.16963709093728	4.84172419110855	5.29810775381725	3.2082888052533503	4.0218217110349705	3.55060540589702	7.05228525785652	6.466557242909019	5.39330955972855	4.87991330411045	0.6925752798785559	2.7349110723849304	3.2181825688189	4.07725171035345	Luminal B
TCGA-A2-A25C-01A	5.07439386322239	3.3503670659801603	3.186124034406029	2.5394014804951603	4.76379686780624	2.62397821874974	3.63458716155293	3.3616786720538903	3.5021554829258	2.31262045204171	4.51768205633943	4.414761705325112	4.3742586819700895	3.3562789316022794	2.64889986282952	1.65033503521388	4.262486091972209	1.5599348067961898	3.67671919045629	4.49157308634714	2.4427875450860803	0.6741618426691669	4.17801502422816	1.47022588692447	3.02395787165291	1.17679775066569	2.0467031249147003	0.203133931961436	3.37844097722408	1.33579686171667	2.03404242218054	2.69888405623482	3.89175404300152	8.070557733585941	4.39537852995543	2.6858179849734	2.26766140452342	4.29072272830706	5.79802038788121	3.09691502543868	3.38454302686018	7.72119942830173	6.9986643577528085	6.45026991217405	5.4016891485304415	4.04024428718582	0.107786738250815	3.15533203088826	2.191983558326	5.31738396028661	Luminal B
TCGA-A2-A25D-01A	5.2390360062893215	4.40486624635238	1.98449511572364	2.2849385892719303	4.183379763618601	3.07619402263402	4.01821490482829	2.95580280075076	2.90542721885486	1.5629668391522802	3.16047637960697	4.504378355585491	3.52367174062238	3.8109046775819504	2.14419607369023	1.4662293945313305	2.6152176378676497	0.7183013852822291	3.85128607178937	2.474948543981049	2.81645413139308	1.48022012085902	7.04505989653027	1.25027657978533	3.611575076948101	0.963185371372519	2.18788422500982	0.5687501089796639	4.25842133579478	1.69715575183635	2.8343977739653905	3.99188073074548	3.2895844901655003	5.26710401797279	4.38979878723981	3.6498884650651	0.106510812824874	4.8382224303547	5.8087889102301	2.8230798594707696	2.4799415131146603	1.67014647515036	5.26349998388694	5.08455996744483	3.85764034998372	3.9984840391798495	2.63683359583916	3.83445209715576	2.16943689917421	5.63269157532214	Luminal A
TCGA-A2-A25E-01A	5.3316696331365305	4.33361053125731	3.29306390726045	3.48560117472286	4.14240873360296	4.19392356390039	5.1167313363144	4.65593001579468	3.63311911098156	2.8664595842326097	4.1809348400185185	5.67763522230541	4.06476021480959	3.6692250690145	2.33596216859046	2.16257285641338	2.8224722422255804	1.4332482138547	3.9215585899449	3.26290366505152	3.39996817005172	1.20673186744681	5.915132304284638	1.12447970761325	2.39338295946618	2.18694600209192	1.31838290046512	0.141698835893	3.56834912422501	1.07349696398056	2.29670792547859	2.88332230401415	5.12091763059843	9.88940355697806	3.77306453107957	3.00315255933698	3.33923758894565	5.800200045379442	5.458465860475512	5.09374267802276	5.01490431842001	4.651267081277821	6.76781347487024	6.0601414756533885	6.0497650774081695	3.92265377944804	0.8959452971752141	2.93806079715739	0.980505868169738	5.29237051564738	Luminal B
